"Ref_Occ","Spouse_Occ","pct_couples","ref_person"
"Personal financial advisors","Elementary and middle school teachers",0.112965340179718,"Husband"
"Personal financial advisors","Registered nurses",0.0462130937098845,"Husband"
"Personal financial advisors","Secretaries and administrative assistants",0.0423620025673941,"Husband"
"Personal financial advisors","Accountants and auditors",0.0410783055198973,"Husband"
"Personal financial advisors","Miscellaneous managers",0.0359435173299101,"Husband"
"Personal financial advisors","Financial managers",0.024390243902439,"Husband"
"Personal financial advisors","Personal financial advisors",0.0205391527599487,"Husband"
"Personal financial advisors","Lawyers and judges",0.0205391527599487,"Husband"
"Personal financial advisors","Postsecondary teachers",0.0205391527599487,"Husband"
"Personal financial advisors","Chief executives and legislators",0.0179717586649551,"Husband"
"Insurance underwriters","Elementary and middle school teachers",0.112903225806452,"Husband"
"Credit counselors and loan officers","Elementary and middle school teachers",0.124,"Husband"
"Credit counselors and loan officers","Secretaries and administrative assistants",0.052,"Husband"
"Credit counselors and loan officers","Registered nurses",0.044,"Husband"
"Credit counselors and loan officers","Accountants and auditors",0.042,"Husband"
"Credit counselors and loan officers","Miscellaneous managers",0.032,"Husband"
"Credit counselors and loan officers","Credit counselors and loan officers",0.026,"Husband"
"Credit counselors and loan officers","Counselors",0.024,"Husband"
"Credit counselors and loan officers","Financial managers",0.022,"Husband"
"Credit counselors and loan officers","Postsecondary teachers",0.022,"Husband"
"Credit counselors and loan officers","Office and administrative support supervisors",0.022,"Husband"
"Computer systems analysts","Elementary and middle school teachers",0.0658362989323843,"Husband"
"Computer systems analysts","Registered nurses",0.0533807829181495,"Husband"
"Computer systems analysts","Secretaries and administrative assistants",0.0516014234875445,"Husband"
"Computer systems analysts","Miscellaneous managers",0.047153024911032,"Husband"
"Computer systems analysts","Computer systems analysts",0.0444839857651246,"Husband"
"Computer systems analysts","Accountants and auditors",0.0409252669039146,"Husband"
"Computer systems analysts","Software developers",0.0240213523131673,"Husband"
"Computer systems analysts","Management analysts",0.0160142348754448,"Husband"
"Computer systems analysts","Human resources workers",0.0160142348754448,"Husband"
"Computer systems analysts","Marketing and sales managers",0.0151245551601423,"Husband"
"Computer programmers","Elementary and middle school teachers",0.066925315227934,"Husband"
"Computer programmers","Registered nurses",0.0572259941804074,"Husband"
"Computer programmers","Miscellaneous managers",0.0514064015518914,"Husband"
"Computer programmers","Computer programmers",0.04364694471387,"Husband"
"Computer programmers","Secretaries and administrative assistants",0.0368574199806014,"Husband"
"Computer programmers","Accountants and auditors",0.0358874878758487,"Husband"
"Computer programmers","Postsecondary teachers",0.026188166828322,"Husband"
"Computer programmers","Bookkeeping, accounting, and auditing clerks",0.023278370514064,"Husband"
"Computer programmers","Software developers",0.0223084384093113,"Husband"
"Computer programmers","Teacher assistants",0.017458777885548,"Husband"
"Software developers","Software developers",0.114882506527415,"Husband"
"Software developers","Elementary and middle school teachers",0.0667661320402835,"Husband"
"Software developers","Accountants and auditors",0.0425214472211861,"Husband"
"Software developers","Miscellaneous managers",0.0361805296531145,"Husband"
"Software developers","Registered nurses",0.0346885490488624,"Husband"
"Software developers","Secretaries and administrative assistants",0.0283476314807907,"Husband"
"Software developers","Management analysts",0.0179037672510257,"Husband"
"Software developers","Postsecondary teachers",0.0167847817978366,"Husband"
"Software developers","Lawyers and judges",0.0138008205893323,"Husband"
"Software developers","Education administrators",0.0138008205893323,"Husband"
"Web developers","Elementary and middle school teachers",0.075,"Husband"
"Web developers","Miscellaneous managers",0.05,"Husband"
"Web developers","Designers",0.04375,"Husband"
"Web developers","Web developers",0.040625,"Husband"
"Web developers","Registered nurses",0.0375,"Husband"
"Computer support specialists","Elementary and middle school teachers",0.0746018440905281,"Husband"
"Computer support specialists","Registered nurses",0.0553227158424141,"Husband"
"Computer support specialists","Secretaries and administrative assistants",0.0553227158424141,"Husband"
"Computer support specialists","Accountants and auditors",0.0326906957250629,"Husband"
"Computer support specialists","Miscellaneous managers",0.0284995808885163,"Husband"
"Computer support specialists","Customer service representatives",0.0251466890192791,"Husband"
"Computer support specialists","Bookkeeping, accounting, and auditing clerks",0.0226320201173512,"Husband"
"Computer support specialists","Social workers",0.0201173512154233,"Husband"
"Computer support specialists","Office and administrative support supervisors",0.0184409052808047,"Husband"
"Computer support specialists","Marketing and sales managers",0.0142497904442582,"Husband"
"Database administrators","Elementary and middle school teachers",0.100418410041841,"Husband"
"Database administrators","Registered nurses",0.0585774058577406,"Husband"
"Network and computer systems administrators","Elementary and middle school teachers",0.0861788617886179,"Husband"
"Network and computer systems administrators","Registered nurses",0.0634146341463415,"Husband"
"Network and computer systems administrators","Secretaries and administrative assistants",0.0552845528455285,"Husband"
"Network and computer systems administrators","Accountants and auditors",0.0390243902439024,"Husband"
"Network and computer systems administrators","Miscellaneous managers",0.0260162601626016,"Husband"
"Network and computer systems administrators","Postsecondary teachers",0.024390243902439,"Husband"
"Network and computer systems administrators","Customer service representatives",0.0227642276422764,"Husband"
"Network and computer systems administrators","Human resources workers",0.0195121951219512,"Husband"
"Computer network architects ","Elementary and middle school teachers",0.0925925925925926,"Husband"
"Computer network architects ","Registered nurses",0.0524691358024691,"Husband"
"Computer network architects ","Secretaries and administrative assistants",0.0432098765432099,"Husband"
"Other computer occupations","Elementary and middle school teachers",0.0820836621941594,"Husband"
"Other computer occupations","Registered nurses",0.0481452249408051,"Husband"
"Other computer occupations","Secretaries and administrative assistants",0.0473559589581689,"Husband"
"Other computer occupations","Accountants and auditors",0.0434096290449882,"Husband"
"Other computer occupations","Miscellaneous managers",0.0355169692186267,"Husband"
"Other computer occupations","Other computer occupations",0.0331491712707182,"Husband"
"Other computer occupations","Human resources workers",0.021310181531176,"Husband"
"Other computer occupations","Office and administrative support supervisors",0.0165745856353591,"Husband"
"Other computer occupations","Bookkeeping, accounting, and auditing clerks",0.0165745856353591,"Husband"
"Other computer occupations","General office clerks",0.0165745856353591,"Husband"
"Operations research analysts","Elementary and middle school teachers",0.0992063492063492,"Husband"
"Operations research analysts","Miscellaneous managers",0.0595238095238095,"Husband"
"Operations research analysts","Registered nurses",0.0595238095238095,"Husband"
"Operations research analysts","Accountants and auditors",0.0476190476190476,"Husband"
"Architects","Elementary and middle school teachers",0.0724946695095949,"Husband"
"Architects","Architects",0.0533049040511727,"Husband"
"Architects","Designers",0.0533049040511727,"Husband"
"Architects","Miscellaneous managers",0.0511727078891258,"Husband"
"Architects","Registered nurses",0.0447761194029851,"Husband"
"Architects","Accountants and auditors",0.0319829424307036,"Husband"
"Architects","Postsecondary teachers",0.0298507462686567,"Husband"
"Architects","Secretaries and administrative assistants",0.0298507462686567,"Husband"
"Architects","Medical and health services managers",0.023454157782516,"Husband"
"Architects","Human resources workers",0.023454157782516,"Husband"
"Aerospace engineers","Elementary and middle school teachers",0.063953488372093,"Husband"
"Aerospace engineers","Registered nurses",0.061046511627907,"Husband"
"Aerospace engineers","Miscellaneous managers",0.0523255813953488,"Husband"
"Aerospace engineers","Accountants and auditors",0.0406976744186047,"Husband"
"Aerospace engineers","Secretaries and administrative assistants",0.0348837209302326,"Husband"
"Chemical engineers","Elementary and middle school teachers",0.0869565217391304,"Husband"
"Chemical engineers","Secretaries and administrative assistants",0.0745341614906832,"Husband"
"Civil engineers","Elementary and middle school teachers",0.110854503464203,"Husband"
"Civil engineers","Registered nurses",0.0646651270207852,"Husband"
"Civil engineers","Accountants and auditors",0.0427251732101617,"Husband"
"Civil engineers","Secretaries and administrative assistants",0.0334872979214781,"Husband"
"Civil engineers","Miscellaneous managers",0.0265588914549654,"Husband"
"Civil engineers","Secondary school teachers",0.0207852193995381,"Husband"
"Civil engineers","Postsecondary teachers",0.0207852193995381,"Husband"
"Civil engineers","Bookkeeping, accounting, and auditing clerks",0.0196304849884527,"Husband"
"Civil engineers","Human resources workers",0.0173210161662818,"Husband"
"Civil engineers","Physicians and surgeons",0.0150115473441109,"Husband"
"Electrical engineers","Elementary and middle school teachers",0.0730837789661319,"Husband"
"Electrical engineers","Registered nurses",0.0659536541889483,"Husband"
"Electrical engineers","Accountants and auditors",0.0481283422459893,"Husband"
"Electrical engineers","Secretaries and administrative assistants",0.0409982174688057,"Husband"
"Electrical engineers","Miscellaneous managers",0.0338680926916221,"Husband"
"Electrical engineers","Electrical engineers",0.0285204991087344,"Husband"
"Electrical engineers","Education administrators",0.0213903743315508,"Husband"
"Electrical engineers","Software developers",0.0196078431372549,"Husband"
"Electrical engineers","Financial managers",0.0196078431372549,"Husband"
"Industrial engineers","Elementary and middle school teachers",0.0690978886756238,"Husband"
"Industrial engineers","Registered nurses",0.0422264875239923,"Husband"
"Industrial engineers","Secretaries and administrative assistants",0.036468330134357,"Husband"
"Industrial engineers","Miscellaneous managers",0.0345489443378119,"Husband"
"Industrial engineers","Financial managers",0.0230326295585413,"Husband"
"Industrial engineers","Accountants and auditors",0.0230326295585413,"Husband"
"Mechanical engineers","Registered nurses",0.0803443328550933,"Husband"
"Mechanical engineers","Secretaries and administrative assistants",0.0703012912482066,"Husband"
"Mechanical engineers","Elementary and middle school teachers",0.0645624103299857,"Husband"
"Mechanical engineers","Miscellaneous managers",0.0444763271162123,"Husband"
"Mechanical engineers","Accountants and auditors",0.0344332855093257,"Husband"
"Mechanical engineers","Postsecondary teachers",0.0229555236728838,"Husband"
"Mechanical engineers","Bookkeeping, accounting, and auditing clerks",0.0229555236728838,"Husband"
"Mechanical engineers","Mechanical engineers",0.0215208034433286,"Husband"
"Mechanical engineers","Secondary school teachers",0.0186513629842181,"Husband"
"Mechanical engineers","Financial managers",0.0157819225251076,"Husband"
"Miscellaneous engineers","Elementary and middle school teachers",0.0765206017004578,"Husband"
"Miscellaneous engineers","Registered nurses",0.0542838456507521,"Husband"
"Miscellaneous engineers","Miscellaneous managers",0.0503597122302158,"Husband"
"Miscellaneous engineers","Accountants and auditors",0.039241334205363,"Husband"
"Miscellaneous engineers","Secretaries and administrative assistants",0.0340091563113146,"Husband"
"Miscellaneous engineers","Miscellaneous engineers",0.0313930673642904,"Husband"
"Miscellaneous engineers","Postsecondary teachers",0.0228907782864617,"Husband"
"Miscellaneous engineers","Human resources workers",0.0170045781556573,"Husband"
"Miscellaneous engineers","Software developers",0.0156965336821452,"Husband"
"Miscellaneous engineers","Secondary school teachers",0.0150425114453891,"Husband"
"Drafters","Secretaries and administrative assistants",0.0803108808290155,"Husband"
"Drafters","Elementary and middle school teachers",0.077720207253886,"Husband"
"Drafters","Registered nurses",0.0621761658031088,"Husband"
"Engineer technicians","Elementary and middle school teachers",0.0697247706422018,"Husband"
"Engineer technicians","Registered nurses",0.055045871559633,"Husband"
"Engineer technicians","Secretaries and administrative assistants",0.0522935779816514,"Husband"
